"pos","set","Pair","var","values"
"up","b) complete dataset",97,"Richness",0.419925434276155
"up","b) complete dataset",97,"Evenness",-2.74535297858083
"up","b) complete dataset",97,"Dispersion",-0.00554128908981288
"up","b) complete dataset",97,"Redundancy",-0.00814623594972546
"down","b) complete dataset",98,"Richness",-1.08067505193498
"down","b) complete dataset",98,"Evenness",-0.447051778566688
"down","b) complete dataset",98,"Dispersion",-0.736151465865299
"down","b) complete dataset",98,"Redundancy",0.522229818438695
"up","b) complete dataset",98,"Richness",-1.45568596009716
"up","b) complete dataset",98,"Evenness",-2.01575737726416
"up","b) complete dataset",98,"Dispersion",-0.336120701400925
"up","b) complete dataset",98,"Redundancy",0.293393334744112
"down","b) complete dataset",99,"Richness",-2.13331875754244
"down","b) complete dataset",99,"Evenness",-0.221845282707546
"down","b) complete dataset",99,"Dispersion",-1.22664910665291
"down","b) complete dataset",99,"Redundancy",1.19107894083814
"up","b) complete dataset",99,"Richness",-1.7180704760416
"up","b) complete dataset",99,"Evenness",-0.587032304936076
"up","b) complete dataset",99,"Dispersion",-0.146698845672405
"up","b) complete dataset",99,"Redundancy",0.161453616770955
"down","b) complete dataset",100,"Richness",-0.736771802305161
"down","b) complete dataset",100,"Evenness",0.177373325326555
"down","b) complete dataset",100,"Dispersion",-1.91550858082725
"down","b) complete dataset",100,"Redundancy",2.06696909800764
"up","b) complete dataset",100,"Richness",-0.653196622558994
"up","b) complete dataset",100,"Evenness",-0.856623771658177
"up","b) complete dataset",100,"Dispersion",-0.786480829111124
"up","b) complete dataset",100,"Redundancy",0.987846011422223
"down","b) complete dataset",102,"Richness",-1.30362183114434
"down","b) complete dataset",102,"Evenness",-1.25813566108823
"down","b) complete dataset",102,"Dispersion",-1.60411676420413
"down","b) complete dataset",102,"Redundancy",1.66717030384096
"up","b) complete dataset",102,"Richness",-1.23532117699599
"up","b) complete dataset",102,"Evenness",0.515156818008748
"up","b) complete dataset",102,"Dispersion",-1.76699308260911
"up","b) complete dataset",102,"Redundancy",2.29846041743006
"down","b) complete dataset",105,"Richness",-0.922225282103371
"down","b) complete dataset",105,"Evenness",0.974346862488785
"down","b) complete dataset",105,"Dispersion",-0.841637884915588
"down","b) complete dataset",105,"Redundancy",0.902580606701415
"up","b) complete dataset",105,"Richness",-1.98619827436127
"up","b) complete dataset",105,"Evenness",0.0750924096574088
"up","b) complete dataset",105,"Dispersion",-1.46374914897439
"up","b) complete dataset",105,"Redundancy",1.35628811885442
"down","b) complete dataset",108,"Richness",-0.102885828906593
"down","b) complete dataset",108,"Evenness",2.09763672329407
"down","b) complete dataset",108,"Dispersion",0.967266610132295
"down","b) complete dataset",108,"Redundancy",-1.024932039657
"up","b) complete dataset",108,"Richness",0.882268903017557
"up","b) complete dataset",108,"Evenness",-0.679467849939456
"up","b) complete dataset",108,"Dispersion",0.386053842003063
"up","b) complete dataset",108,"Redundancy",-0.466439219636833
"down","b) complete dataset",109,"Richness",-1.54330506812144
"down","b) complete dataset",109,"Evenness",-0.56520921180897
"down","b) complete dataset",109,"Dispersion",-0.545343419561092
"down","b) complete dataset",109,"Redundancy",0.514510755767748
"up","b) complete dataset",109,"Richness",-2.35729325793192
"up","b) complete dataset",109,"Evenness",-0.868785365989382
"up","b) complete dataset",109,"Dispersion",-0.871319112763038
"up","b) complete dataset",109,"Redundancy",0.845250756171191
"down","b) complete dataset",111,"Richness",-1.81685112256649
"down","b) complete dataset",111,"Evenness",-1.74377202548629
"down","b) complete dataset",111,"Dispersion",-0.0709194419149559
"down","b) complete dataset",111,"Redundancy",0.319922778606832
"up","b) complete dataset",111,"Richness",-1.41603576506885
"up","b) complete dataset",111,"Evenness",-0.0861032402948594
"up","b) complete dataset",111,"Dispersion",0.298142951626034
"up","b) complete dataset",111,"Redundancy",0.0457536612079055
"down","b) complete dataset",119,"Richness",-0.976855940893096
